AID CODE,AID CODE NAME,BENEFITS,ELIGIBILITY GROUP,SHORT DESCRIPTION,GROUP CODE,TYPE,FEDERAL CATEGORY,"MEDICAID 
OR CHIP","SOCIAL SECURITY ACT 
CITATION","CODE OF FEDERAL REGULATIONS
CITATION"
R6,Work Incentive Nutritional Supplement Program (WINS) - Non 2-Parent/Caretaker Relative Households - Receiving California Food Assistance Program (CFAP),No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
R7,Work Incentive Nutritional Supplement Program (WINS) - Non 2-Parent - Transitional CalFresh (TCF) $10 Supplemental Benefit,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
R8,Work Incentive Nutritional Supplement Program (WINS) - 2-Parent - Transitional CalFresh (TCF) $10 Supplemental Benefit,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
R9,Work Incentive Nutritional Supplement Program (WINS) -  Transitional California Food Assistance Program (TCFAP) $10 Supplemental Benefit,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
T0,Infants - Ages 0 to 1 - Modified Adjusted Gross Income (MAGI) 208% to 266% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC),Restricted or Limited (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
T1,Children - Ages 6 to 19 - Modified Adjusted Gross Income (MAGI) 160% to 266% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC) - Premium,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
T2,Children - Ages 6 to 19 - Modified Adjusted Gross Income (MAGI) 133% to 160% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
T3,Children - Ages 1 to 6 - Modified Adjusted Gross Income (MAGI) 160% to 266% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC) - Premium,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
T4,Children - Ages 1 to 6 - Modified Adjusted Gross Income (MAGI) 142% to 160% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC),Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
T5,Infants - Ages 0 to 1 - Modified Adjusted Gross Income (MAGI) 208% to 266% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC) Program,Full Scope (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
T6,Children - Ages 6 to 19 - Modified Adjusted Gross Income (MAGI) 160% to 266% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC) - Premium,Restricted or Limited (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
T7,Children - Ages 6 to 19 - Modified Adjusted Gross Income (MAGI) 133% to 160% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC),Restricted or Limited (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
T8,Children - Ages 1 to 6 - Modified Adjusted Gross Income (MAGI) 160% to 266% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC) - Premium,Restricted or Limited (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
T9,Children - Ages 1 to 6 - Modified Adjusted Gross Income (MAGI) 142% to 160% Federal Poverty Level (FPL) - Optional Targeted Low Income Children (OTLIC),Restricted or Limited (No SOC),Optional Targeted Low Income Children,"Uninsured children who meet the definition of optional targeted low income children at 42 CFR 435.4, who have household income at or below a standard established by the State.",31,Family/Adult,Optional  ,MCHIP,1902(a)(10)(A)(ii)(XIV); 1905(u)(2)(B),42 CFR 435.229 and 435.4
V2,Presumptive Eligibility (PE) for coronavirus (COVID-19) Diagnostic Testing Only - Limited Scope,Restricted or Limited Scope (No SOC),Uninsured Individual eligible for COVID-19 testing,"Uninsured individuals who are eligible for medical assistance for COVID-19 diagnostic products and any visit described as a COVID–19 testing-related service for which payment may be made under the State plan during any portion of the public health emergency period, beginning March 18, 2020.",76,Family/Adult,Optional  ,Medicaid,1902(a)(10) (A)(ii)(XXIII),N/A
X1,Covered California - Modified Adjusted Gross Income (MAGI) Greater than 250% to less than or equal to 400% Federal Poverty Level (FPL) - Subsidized,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
X2,Covered California - Modified Adjusted Gross Income (MAGI) 100% to 150% Federal Poverty Level (FPL) - Subsidized,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
X3,Covered California - Modified Adjusted Gross Income (MAGI) 151% to 200% Federal Poverty Level (FPL) - Subsidized,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
X4,Covered California - Modified Adjusted Gross Income (MAGI) 201% to 250% Federal Poverty Level (FPL) - Subsidized,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
X5,Covered California - Modified Adjusted Gross Income (MAGI) 100% to 300% Federal Poverty Level (FPL) - American Indian and Alaskan Native - Cost Sharing Waiver - Subsidized ,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
X6,Covered California - American Indian and Alaskan Native - No Income Test - No Cost Sharing Waiver,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
X7,Covered California - Modified Adjusted Gross Income (MAGI) Above 600% Federal Poverty Level (FPL) - Unsubsidized,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
X9,Covered California - Modified Adjusted Gross Income (MAGI) between 400% and 600% Federal Poverty Level (FPL) - State Subsidy,No Medi-Cal Benefits,Not Medi-Cal,N/A,-,N/A,N/A,N/A,N/A,N/A
